sensitivity_shift,specificity_shift,bias,absolute_bias
-0.1,-0.1,-0.013333333333333345,0.013333333333333345
-0.1,-0.05,-0.043333333333333224,0.043333333333333224
-0.1,0.0,-0.0733333333333334,0.0733333333333334
-0.1,0.05,-0.10333333333333326,0.10333333333333326
-0.1,0.1,-0.1273333333333333,0.1273333333333333
-0.05,-0.1,0.023333333333333355,0.023333333333333355
-0.05,-0.05,-0.006666666666666682,0.006666666666666682
-0.05,0.0,-0.0366666666666667,0.0366666666666667
-0.05,0.05,-0.06666666666666672,0.06666666666666672
-0.05,0.1,-0.0906666666666666,0.0906666666666666
0.0,-0.1,0.059999999999999894,0.059999999999999894
0.0,-0.05,0.030000000000000023,0.030000000000000023
0.0,0.0,0.0,0.0
0.0,0.05,-0.030000000000000023,0.030000000000000023
0.0,0.1,-0.054000000000000055,0.054000000000000055
0.05,-0.1,0.09666666666666678,0.09666666666666678
0.05,-0.05,0.06666666666666672,0.06666666666666672
0.05,0.0,0.0366666666666667,0.0366666666666667
0.05,0.05,0.006666666666666682,0.006666666666666682
0.05,0.1,-0.0173333333333332,0.0173333333333332
0.1,-0.1,0.1333333333333333,0.1333333333333333
0.1,-0.05,0.10333333333333326,0.10333333333333326
0.1,0.0,0.0733333333333334,0.0733333333333334
0.1,0.05,0.043333333333333224,0.043333333333333224
0.1,0.1,0.01933333333333335,0.01933333333333335
