uncertainty_radius,nominal_information,robust_information_lower_bound,realized_worst_case_information,realized_perturbation_norm
0.0,1.29,1.2899999999999998,1.29,0.0
0.2,1.29,0.8756873323359781,0.8756873323359782,0.20000000000000004
0.5,1.29,0.4042183308399452,0.40421833083994524,0.5
1.0,1.29,0.01843666167989053,0.01843666167989055,1.0
1.2,1.29,0.0,0.0,1.1357816691600546
