dependence,true_posterior,naive_independence_posterior,absolute_error
0.0,0.9966499162479061,0.9966499162479061,0.0
0.1,0.9712118062772812,0.9966499162479061,0.0254381099706249
0.2,0.9490718242783556,0.9966499162479061,0.04757809196955054
0.3,0.9296276013143483,0.9966499162479061,0.06702231493355781
0.4,0.9124150391465199,0.9966499162479061,0.08423487710138622
0.5,0.8970707892595607,0.9966499162479061,0.09957912698834537
0.6,0.8833063209076176,0.9966499162479061,0.11334359534028848
0.7,0.8708896065766296,0.9966499162479061,0.1257603096712765
0.8,0.8596319361836121,0.9966499162479061,0.137017980064294
0.9,0.8493782591255516,0.9966499162479061,0.14727165712235446
1.0,0.84,0.9966499162479061,0.15664991624790614
