common_mode_amplitude,phase_concentration_raw,phase_concentration_after_common_mode_removal
0.0,1.9561428915093754e-15,9.666504474403601e-16
0.25,0.1259878632321525,1.0040957486932328e-15
0.5,0.25724629181153635,1.0014766569961722e-15
1.0,0.6406660572502536,9.753853019135234e-16
2.0,0.9348301525491689,9.968206896564065e-16
