signal,rejection_rate,mean_alignment
0.0,0.0375,-0.005668324192030873
0.25,0.125,0.058642878858085556
0.5,0.5625,0.22938028902161484
0.75,1.0,0.5441968365996201
0.9,1.0,0.7989255350588228
