shift_alpha,target_expectation,importance_weighted_source_expectation,absolute_transport_identity_error,maximum_importance_weight,effective_sample_fraction
0.0,0.32,0.32,0.0,1.0,1.0
0.1,0.42000000000000004,0.42000000000000004,0.0,1.5000000000000002,0.9345794392523362
0.2,0.52,0.52,0.0,2.0,0.78125
0.3,0.62,0.62,0.0,2.5,0.6134969325153374
0.4,0.7200000000000001,0.7200000000000001,0.0,3.0000000000000004,0.47169811320754707
