common_noise_correlation,fisher_information,crlb_variance
0.0,4.0,0.25
0.3,2.1052631578947367,0.47500000000000003
0.6,1.4285714285714284,0.7000000000000001
0.9,1.0810810810810811,0.9249999999999999
