whitened_mismatch_norm,expected_amplitude_gain,relative_bias,absolute_relative_bias,cauchy_schwarz_bias_bound
0.0,1.0,0.0,0.0,0.0
0.05,0.9822785775946131,-0.017721422405386877,0.017721422405386877,0.0637216351057622
0.1,0.9645571551892258,-0.0354428448107742,0.0354428448107742,0.12744327021152438
0.2,0.9291143103784519,-0.07088568962154806,0.07088568962154806,0.2548865404230488
0.4,0.8582286207569035,-0.14177137924309646,0.14177137924309646,0.5097730808460976
