angle_degrees,retained_information_fraction,sin_squared_angle
0.0,0.0,0.0
15.0,0.06698729810778066,0.06698729810778066
30.0,0.24999999999999994,0.24999999999999994
45.0,0.4999999999999999,0.4999999999999999
60.0,0.7499999999999999,0.7499999999999999
90.0,1.0,1.0
