pooled_proxy_rate,average_prevalence_lower,average_prevalence_upper,identified_width
0.25,0.12500000000000003,0.20000000000000007,0.07500000000000004
0.3,0.18750000000000003,0.30000000000000004,0.11250000000000002
0.35,0.25,0.4,0.15000000000000002
0.4,0.31250000000000006,0.5000000000000001,0.18750000000000006
0.45,0.37500000000000006,0.5625,0.18749999999999994
0.5,0.4375,0.625,0.1875
0.55,0.5000000000000001,0.6875000000000001,0.1875
0.6,0.6,0.75,0.15000000000000002
0.65,0.7,0.8125,0.11250000000000004
