youden,missing_fraction,interior_latent_width
0.3,0.0,0.0
0.3,0.05,0.16666666666666669
0.3,0.1,0.33333333333333337
0.3,0.15,0.5
0.3,0.2,0.6666666666666667
0.5,0.0,0.0
0.5,0.05,0.1
0.5,0.1,0.2
0.5,0.15,0.3
0.5,0.2,0.4
0.75,0.0,0.0
0.75,0.05,0.06666666666666667
0.75,0.1,0.13333333333333333
0.75,0.15,0.19999999999999998
0.75,0.2,0.26666666666666666
0.9,0.0,0.0
0.9,0.05,0.05555555555555556
0.9,0.1,0.11111111111111112
0.9,0.15,0.16666666666666666
0.9,0.2,0.22222222222222224
