comparisons,marginal_coverage,selected_naive_coverage,selected_false_positive
1.0,0.95,0.95,0.050000000000000044
10.0,0.95,0.5987369392383787,0.4012630607616213
100.0,0.95,0.0059205292203339975,0.994079470779666
1000.0,0.95,5.2918227477448005e-23,1.0
