n,coverage,mean_width,median_width
50.0,0.9988,0.6059482664100844,0.608480722759808
100.0,0.9988,0.45947749544481886,0.4594673335016812
250.0,1.0,0.3260229889535056,0.3262628320627944
500.0,1.0,0.2587088380927897,0.25869891118959837
1000.0,1.0,0.21111236094136335,0.21112571091462035
2500.0,1.0,0.16889058989520173,0.1688554920167919
