sparsity,mutual_coherence,gershgorin_lower_bound,observed_minimum_eigenvalue,observed_maximum_eigenvalue,gershgorin_upper_bound
2.0,0.25,0.75,0.7499999999999999,1.25,1.25
3.0,0.25,0.5,0.4999999999999996,1.25,1.5
